19:14:11 - Generate piattaforme Mantello da 650 a -850
19:14:11 - Generate piattaforme Crosta da -970 a -2470
19:14:11 - Generate piattaforme Vulcano da -2590 a -3590
19:14:11 - Rimbalzo - Pos Y: 717.1825157324799, Velocità Y: -14, Piattaforma Y: 750
19:14:21 - Rimbalzo - Pos Y: 608.0220262809709, Velocità Y: -14, Piattaforma Y: 650
19:14:21 - Rimbalzo - Pos Y: 609.0774146431573, Velocità Y: -14, Piattaforma Y: 650
19:14:22 - GAME OVER - Pos Y: 847.8774146431573, Velocità Y: 15, Ultima piattaforma Y: -3730
19:14:22 - GAME OVER - Pos Y: 862.8774146431573, Velocità Y: 15, Ultima piattaforma Y: -3730
19:14:22 - GAME OVER - Pos Y: 877.8774146431573, Velocità Y: 15, Ultima piattaforma Y: -3730
19:14:22 - GAME OVER - Pos Y: 892.8774146431573, Velocità Y: 15, Ultima piattaforma Y: -3730
19:14:22 - GAME OVER - Pos Y: 907.8774146431573, Velocità Y: 15, Ultima piattaforma Y: -3730
19:14:22 - GAME OVER - Pos Y: 922.8774146431573, Velocità Y: 15, Ultima piattaforma Y: -3730
19:14:22 - GAME OVER - Pos Y: 937.8774146431573, Velocità Y: 15, Ultima piattaforma Y: -3730
19:14:22 - GAME OVER - Pos Y: 952.8774146431573, Velocità Y: 15, Ultima piattaforma Y: -3730
19:14:22 - GAME OVER - Pos Y: 967.8774146431573, Velocità Y: 15, Ultima piattaforma Y: -3730
19:14:22 - GAME OVER - Pos Y: 982.8774146431573, Velocità Y: 15, Ultima piattaforma Y: -3730
19:14:22 - GAME OVER - Pos Y: 997.8774146431573, Velocità Y: 15, Ultima piattaforma Y: -3730
19:14:22 - GAME OVER - Pos Y: 1012.8774146431573, Velocità Y: 15, Ultima piattaforma Y: -3730
19:14:22 - GAME OVER - Pos Y: 1027.8774146431574, Velocità Y: 15, Ultima piattaforma Y: -3730
19:14:22 - GAME OVER - Pos Y: 1042.8774146431574, Velocità Y: 15, Ultima piattaforma Y: -3730
19:14:22 - GAME OVER - Pos Y: 1057.8774146431574, Velocità Y: 15, Ultima piattaforma Y: -3730
19:14:22 - GAME OVER - Pos Y: 1072.8774146431574, Velocità Y: 15, Ultima piattaforma Y: -3730
19:14:22 - GAME OVER - Pos Y: 1087.8774146431574, Velocità Y: 15, Ultima piattaforma Y: -3730
19:14:22 - GAME OVER - Pos Y: 1102.8774146431574, Velocità Y: 15, Ultima piattaforma Y: -3730
19:14:22 - GAME OVER - Pos Y: 1117.8774146431574, Velocità Y: 15, Ultima piattaforma Y: -3730
19:14:22 - GAME OVER - Pos Y: 1132.8774146431574, Velocità Y: 15, Ultima piattaforma Y: -3730
19:14:22 - GAME OVER - Pos Y: 1147.8774146431574, Velocità Y: 15, Ultima piattaforma Y: -3730
19:14:22 - GAME OVER - Pos Y: 1162.8774146431574, Velocità Y: 15, Ultima piattaforma Y: -3730
19:14:22 - GAME OVER - Pos Y: 1177.8774146431574, Velocità Y: 15, Ultima piattaforma Y: -3730
19:14:22 - GAME OVER - Pos Y: 1192.8774146431574, Velocità Y: 15, Ultima piattaforma Y: -3730
19:14:22 - GAME OVER - Pos Y: 1207.8774146431574, Velocità Y: 15, Ultima piattaforma Y: -3730
19:14:22 - GAME OVER - Pos Y: 1222.8774146431574, Velocità Y: 15, Ultima piattaforma Y: -3730
19:14:22 - GAME OVER - Pos Y: 1237.8774146431574, Velocità Y: 15, Ultima piattaforma Y: -3730
19:14:22 - Resettando il gioco - Inizializzazione piattaforme statiche
19:14:22 - Generate piattaforme Mantello da 650 a -850
19:14:22 - Generate piattaforme Crosta da -970 a -2470
19:14:22 - Generate piattaforme Vulcano da -2590 a -3590
19:14:22 - Rimbalzo - Pos Y: 717.1825157324799, Velocità Y: -14, Piattaforma Y: 750
19:14:23 - Rimbalzo - Pos Y: 710.4405363948736, Velocità Y: -14, Piattaforma Y: 750
19:14:23 - Rimbalzo - Pos Y: 611.2385168025719, Velocità Y: -14, Piattaforma Y: 650
19:14:24 - Rimbalzo - Pos Y: 609.2918164122545, Velocità Y: -14, Piattaforma Y: 650
19:14:25 - Rimbalzo - Pos Y: 607.7402890664209, Velocità Y: -14, Piattaforma Y: 650
19:14:25 - Rimbalzo - Pos Y: 608.64495688869, Velocità Y: -14, Piattaforma Y: 650
19:14:26 - Rimbalzo - Pos Y: 609.714555642959, Velocità Y: -14, Piattaforma Y: 650
19:14:26 - GAME OVER - Pos Y: 848.514555642959, Velocità Y: 15, Ultima piattaforma Y: -3550
19:14:27 - GAME OVER - Pos Y: 863.514555642959, Velocità Y: 15, Ultima piattaforma Y: -3550
19:14:27 - GAME OVER - Pos Y: 878.514555642959, Velocità Y: 15, Ultima piattaforma Y: -3550
19:14:27 - GAME OVER - Pos Y: 893.514555642959, Velocità Y: 15, Ultima piattaforma Y: -3550
19:14:27 - GAME OVER - Pos Y: 908.514555642959, Velocità Y: 15, Ultima piattaforma Y: -3550
19:14:27 - GAME OVER - Pos Y: 923.514555642959, Velocità Y: 15, Ultima piattaforma Y: -3550
19:14:27 - GAME OVER - Pos Y: 938.514555642959, Velocità Y: 15, Ultima piattaforma Y: -3550
19:14:27 - GAME OVER - Pos Y: 953.514555642959, Velocità Y: 15, Ultima piattaforma Y: -3550
19:14:27 - GAME OVER - Pos Y: 968.514555642959, Velocità Y: 15, Ultima piattaforma Y: -3550
19:14:27 - GAME OVER - Pos Y: 983.514555642959, Velocità Y: 15, Ultima piattaforma Y: -3550
19:14:27 - GAME OVER - Pos Y: 998.514555642959, Velocità Y: 15, Ultima piattaforma Y: -3550
19:14:27 - GAME OVER - Pos Y: 1013.514555642959, Velocità Y: 15, Ultima piattaforma Y: -3550
19:14:27 - GAME OVER - Pos Y: 1028.5145556429588, Velocità Y: 15, Ultima piattaforma Y: -3550
19:14:27 - GAME OVER - Pos Y: 1043.5145556429588, Velocità Y: 15, Ultima piattaforma Y: -3550
19:14:27 - GAME OVER - Pos Y: 1058.5145556429588, Velocità Y: 15, Ultima piattaforma Y: -3550
19:14:27 - GAME OVER - Pos Y: 1073.5145556429588, Velocità Y: 15, Ultima piattaforma Y: -3550
19:14:27 - Resettando il gioco - Inizializzazione piattaforme statiche
19:14:27 - Generate piattaforme Mantello da 650 a -850
