19:05:52 - Rimbalzo - Pos Y: 715.4180878212218, Velocità Y: -14, Piattaforma Y: 750
19:05:52 - Rimbalzo - Pos Y: 715.4180878211337, Velocità Y: -14, Piattaforma Y: 750
19:05:52 - Rimbalzo - Pos Y: 715.4180878210873, Velocità Y: -14, Piattaforma Y: 750
19:05:52 - Rimbalzo - Pos Y: 715.4180878210627, Velocità Y: -14, Piattaforma Y: 750
19:05:52 - Rimbalzo - Pos Y: 715.4180878210498, Velocità Y: -14, Piattaforma Y: 750
19:05:52 - Rimbalzo - Pos Y: 715.418087821043, Velocità Y: -14, Piattaforma Y: 750
19:05:53 - Rimbalzo - Pos Y: 715.4180878210393, Velocità Y: -14, Piattaforma Y: 750
19:05:53 - Rimbalzo - Pos Y: 715.4180878210374, Velocità Y: -14, Piattaforma Y: 750
19:05:53 - Rimbalzo - Pos Y: 715.4180878210365, Velocità Y: -14, Piattaforma Y: 750
19:05:53 - Rimbalzo - Pos Y: 715.4180878210359, Velocità Y: -14, Piattaforma Y: 750
19:05:53 - Rimbalzo - Pos Y: 715.4180878210356, Velocità Y: -14, Piattaforma Y: 750
19:05:53 - Rimbalzo - Pos Y: 715.6357572825112, Velocità Y: -14, Piattaforma Y: 750
19:05:53 - Rimbalzo - Pos Y: 715.5329589431688, Velocità Y: -14, Piattaforma Y: 750
19:05:53 - Rimbalzo - Pos Y: 715.4787089785037, Velocità Y: -14, Piattaforma Y: 750
19:05:53 - Rimbalzo - Pos Y: 715.4500795406648, Velocità Y: -14, Piattaforma Y: 750
19:05:53 - Rimbalzo - Pos Y: 715.4349708725571, Velocità Y: -14, Piattaforma Y: 750
19:05:53 - Rimbalzo - Pos Y: 715.4269975461763, Velocità Y: -14, Piattaforma Y: 750
19:05:53 - Rimbalzo - Pos Y: 715.4227897673621, Velocità Y: -14, Piattaforma Y: 750
19:05:54 - Rimbalzo - Pos Y: 715.4205691881831, Velocità Y: -14, Piattaforma Y: 750
19:05:54 - Rimbalzo - Pos Y: 715.4193973176765, Velocità Y: -14, Piattaforma Y: 750
19:05:54 - Rimbalzo - Pos Y: 715.4187788842078, Velocità Y: -14, Piattaforma Y: 750
19:05:54 - Rimbalzo - Pos Y: 715.4184525171279, Velocità Y: -14, Piattaforma Y: 750
19:05:54 - Rimbalzo - Pos Y: 715.4182802828033, Velocità Y: -14, Piattaforma Y: 750
19:05:54 - Rimbalzo - Pos Y: 715.418189389253, Velocità Y: -14, Piattaforma Y: 750
19:05:54 - Rimbalzo - Pos Y: 715.4181414218256, Velocità Y: -14, Piattaforma Y: 750
19:05:54 - Rimbalzo - Pos Y: 715.4181161078831, Velocità Y: -14, Piattaforma Y: 750
19:05:54 - Rimbalzo - Pos Y: 715.4181027489077, Velocità Y: -14, Piattaforma Y: 750
19:05:54 - Rimbalzo - Pos Y: 715.41809569895, Velocità Y: -14, Piattaforma Y: 750
19:05:54 - Rimbalzo - Pos Y: 715.4180919784624, Velocità Y: -14, Piattaforma Y: 750
19:05:54 - Rimbalzo - Pos Y: 715.4180900150423, Velocità Y: -14, Piattaforma Y: 750
19:05:55 - Rimbalzo - Pos Y: 715.4180889788828, Velocità Y: -14, Piattaforma Y: 750
19:05:55 - Rimbalzo - Pos Y: 715.4180884320683, Velocità Y: -14, Piattaforma Y: 750
19:05:55 - Rimbalzo - Pos Y: 715.4180881434969, Velocità Y: -14, Piattaforma Y: 750
19:05:55 - Rimbalzo - Pos Y: 715.4180879912086, Velocità Y: -14, Piattaforma Y: 750
19:05:55 - Rimbalzo - Pos Y: 715.4180879108412, Velocità Y: -14, Piattaforma Y: 750
19:05:55 - Rimbalzo - Pos Y: 715.4180878684288, Velocità Y: -14, Piattaforma Y: 750
19:05:55 - Rimbalzo - Pos Y: 715.4180878460463, Velocità Y: -14, Piattaforma Y: 750
19:05:55 - Rimbalzo - Pos Y: 715.4180878342344, Velocità Y: -14, Piattaforma Y: 750
19:05:55 - Rimbalzo - Pos Y: 715.4180878280009, Velocità Y: -14, Piattaforma Y: 750
19:05:55 - Rimbalzo - Pos Y: 715.4180878247113, Velocità Y: -14, Piattaforma Y: 750
19:05:55 - Rimbalzo - Pos Y: 715.4180878229752, Velocità Y: -14, Piattaforma Y: 750
19:05:55 - Rimbalzo - Pos Y: 715.4180878220591, Velocità Y: -14, Piattaforma Y: 750
19:05:56 - Rimbalzo - Pos Y: 715.4180878215756, Velocità Y: -14, Piattaforma Y: 750
19:05:56 - Rimbalzo - Pos Y: 715.4180878213205, Velocità Y: -14, Piattaforma Y: 750
19:05:56 - Rimbalzo - Pos Y: 715.4180878211857, Velocità Y: -14, Piattaforma Y: 750
19:05:56 - Rimbalzo - Pos Y: 715.4180878211147, Velocità Y: -14, Piattaforma Y: 750
19:05:56 - Rimbalzo - Pos Y: 715.4180878210772, Velocità Y: -14, Piattaforma Y: 750
19:05:56 - Rimbalzo - Pos Y: 715.4180878210574, Velocità Y: -14, Piattaforma Y: 750
19:05:56 - Rimbalzo - Pos Y: 715.4180878210469, Velocità Y: -14, Piattaforma Y: 750
19:05:56 - Rimbalzo - Pos Y: 715.4180878210415, Velocità Y: -14, Piattaforma Y: 750
19:05:56 - Rimbalzo - Pos Y: 715.4180878210385, Velocità Y: -14, Piattaforma Y: 750
19:05:56 - Rimbalzo - Pos Y: 715.418087821037, Velocità Y: -14, Piattaforma Y: 750
19:05:56 - Rimbalzo - Pos Y: 715.4180878210362, Velocità Y: -14, Piattaforma Y: 750
19:05:56 - Rimbalzo - Pos Y: 715.4180878210358, Velocità Y: -14, Piattaforma Y: 750
19:05:57 - Rimbalzo - Pos Y: 715.4180878210356, Velocità Y: -14, Piattaforma Y: 750
19:05:57 - Rimbalzo - Pos Y: 715.6357572825111, Velocità Y: -14, Piattaforma Y: 750
19:05:57 - Rimbalzo - Pos Y: 715.5329589431688, Velocità Y: -14, Piattaforma Y: 750
19:05:57 - Rimbalzo - Pos Y: 715.4787089785037, Velocità Y: -14, Piattaforma Y: 750
19:05:57 - Rimbalzo - Pos Y: 715.4500795406648, Velocità Y: -14, Piattaforma Y: 750
19:05:57 - Rimbalzo - Pos Y: 715.4349708725571, Velocità Y: -14, Piattaforma Y: 750
19:05:57 - Rimbalzo - Pos Y: 715.4269975461763, Velocità Y: -14, Piattaforma Y: 750
19:05:57 - Rimbalzo - Pos Y: 715.4227897673621, Velocità Y: -14, Piattaforma Y: 750
19:05:57 - Rimbalzo - Pos Y: 715.4205691881831, Velocità Y: -14, Piattaforma Y: 750
19:05:57 - Rimbalzo - Pos Y: 715.4193973176765, Velocità Y: -14, Piattaforma Y: 750
19:05:57 - Rimbalzo - Pos Y: 715.4187788842078, Velocità Y: -14, Piattaforma Y: 750
19:05:57 - Rimbalzo - Pos Y: 715.4184525171279, Velocità Y: -14, Piattaforma Y: 750
19:05:58 - Rimbalzo - Pos Y: 715.4182802828033, Velocità Y: -14, Piattaforma Y: 750
19:05:58 - Rimbalzo - Pos Y: 715.418189389253, Velocità Y: -14, Piattaforma Y: 750
19:05:58 - Rimbalzo - Pos Y: 715.4181414218256, Velocità Y: -14, Piattaforma Y: 750
19:05:58 - Rimbalzo - Pos Y: 715.4181161078831, Velocità Y: -14, Piattaforma Y: 750
19:05:58 - Rimbalzo - Pos Y: 715.4181027489077, Velocità Y: -14, Piattaforma Y: 750
19:05:58 - Rimbalzo - Pos Y: 715.41809569895, Velocità Y: -14, Piattaforma Y: 750
